1:10 after a=0.5,1:10 after a=0.6,1:10 after a=0.7,1:10 after a=0.8,1:10 after a=0.9,1:2 after a=0.5,1:2 after a=0.6,1:2 after a=0.7,1:2 after a=0.8,1:2 after a=0.9,1:3 after a=0.5,1:3 after a=0.6,1:3 after a=0.7,1:3 after a=0.8,1:3 after a=0.9,1:5 after a=0.5,1:5 after a=0.6,1:5 after a=0.7,1:5 after a=0.8,1:5 after a=0.9,1:6 after a=0.5,1:6 after a=0.6,1:6 after a=0.7,1:6 after a=0.8,1:6 after a=0.9,z0_parent_id
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,23.0
True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,25.0
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,26.0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,27.0
True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,29.0
True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,31.0
True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,32.0
True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,33.0
True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,34.0
True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,35.0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39.0
True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,42.0
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,44.0
True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,45.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,49.0
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,50.0
True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,53.0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,54.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,55.0
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,59.0
True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,61.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,63.0
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,65.0
True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,66.0
True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,68.0
True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,69.0
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,71.0
True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,73.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,77.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,78.0
True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,79.0
True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,81.0
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,82.0
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,83.0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,85.0
True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,86.0
True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,88.0
True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,91.0
True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,96.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,98.0
True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,104.0
True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,106.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,108.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,125.0
True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,131.0
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,132.0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,135.0
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,140.0
True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,146.0
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,149.0
True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,153.0
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,156.0
True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,161.0
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,175.0
True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200.0
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,201.0
True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,217.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,223.0
True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,229.0
True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,False,248.0
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,284.0
True,True,True,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,298.0
True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,434.0
True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,471.0
True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,732.0
